barcode,product_name,editeur,supplier_name,total_qty_invoiced,list_price
9782813218100,VOYAGE D'UN NEUROCHIRURGIEN AU COEUR DE LA CONSCIENCE,TREDANIEL,Interforum ,1.00,24.2
9782813218162,REMONTER SON ENERGIE - POUR RETROUVER SA VITALITE ET VIVRE DANS L'HARMONIE ET LA SANTE,TREDANIEL,Interforum ,3.00,10.89
9782813218179,LA LOI D'ATTRACTION - COMMENT CA MARCHE ? POURQUOI QUELQUEFOIS CA NE MARCHE PAS ? COMMENT Y REMEDIER,TREDANIEL,Interforum ,2.00,10.89
9782813218285,LE MESSAGE DES PIERRES,TREDANIEL,Interforum ,2.00,27.39
9782813218407,SORTIR DU STRESS - COMMENT REPRENDRE LE CONTROLE DE SA VIE,TREDANIEL,Interforum ,1.00,13.09
9782813218414,L'HOMME ENERGETIQUE - L'INCROYABLE POTENTIEL DE L'ETRE HUMAIN ET SA PLACE DANS L'UNIVERS,TREDANIEL,Interforum ,2.00,10.89
9782813218537,LA REALITE ULTIME - L'INTENTION CACHEE DE L'UNIVERS,TREDANIEL,Interforum ,1.00,24.2
9782813219091,SE SOUVENIR DU FUTUR - GUIDER SON AVENIR PAR LES SYNCHRONICITES,TREDANIEL,Interforum ,1.00,19.53
9782813219121,MEDICAL MEDIUM - LA THYROIDE,TREDANIEL,Interforum ,7.00,25.93
9782813219138,LES ENSEIGNEMENTS SEXUELS DE LA TIGRESSE BLANCHE,TREDANIEL,Interforum ,2.00,21.59
9782813219695,MON ENFANT PENSE TROP - COMMENT L'ACCOMPAGNER DANS SA SUREFFICIENCE,TREDANIEL,Interforum ,2.00,20.61
9782813219817,A FLEUR DE PET - LE 1ER LIVRE SUR LA MALADIE DES HYPERBALLONNES QUI ONT LE MICROBIOTE A L'ENVERS,TREDANIEL,Interforum ,1.00,23.87
9782813220189,"HARMONISER SES ENERGIES - AVEC LA TECHNIQUE DE LIBERATION DES MERIDIENS, TLM",TREDANIEL,Interforum ,2.00,10.74
9782813220196,GAGNER 10 ANS DE VIE EN BONNE SANTE - AVEC LE PROTOCOLE AMES,TREDANIEL,Interforum ,2.00,10.74
9782813220202,DAUPHIN DANS L'AME - PASSER DE L'HORMONE DU STRESS AUX HORMONES DU BONHEUR,TREDANIEL,Interforum ,1.00,18.45
9782813220226,LA PSYCHOLOGIE POSITIVE POUR APPRENDRE A SE RELIER A SOI (CD),TREDANIEL,Interforum ,1.00,23.76
9782813220233,L'INSOUTENABLE VERITE DE L'EAU,TREDANIEL,Interforum ,1.00,21.59
9782813220301,LE DESIGN HUMAIN - DECOUVREZ LA PERSONNE QUE VOUS ETES CENSE ETRE,TREDANIEL,Interforum ,3.00,24.85
